id;nama;propinsi;kab;alamat;jenis;kelas;status_blu;kepemilikan;total_tempat_tidur;total_layanan;total_tenaga_kerja
1110053;RS Arun Lhokseumawe;Aceh;Kota Lhokseumawe;Jl. Plaju Komplek Perumahan PT Arun Batuphat Timur, Kec. Muara Satu;Rumah Sakit Umum;C;Non BLU/BLUD;SWASTA/LAINNYA;218;36;328
1106014;RS Umum Fandika;Aceh;Aceh Tengah;Jl. Terminal Simpang Wariji Blangkolak 1 Kec. Bebesen;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;45;15;45
1171110;RS Umum Daerah Meuraxa;Aceh;Kota Banda Aceh;Jl. Soekarno Hatta Km. 2 Desa Mibo Kecamatan Banda Raya;Rumah Sakit Umum;B;BLUD;Pemkot;310;77;487
1171163;RS Gigi Mulut Universitas Syiah Kuala;Aceh;Kota Banda Aceh;Jl. Prof A. Madjid Ibrahim I No. 5 Banda Aceh Kel. Punge Jurong;Rumah Sakit Khusus Gigi dan Mulut;B;BLU;Kementerian Lain;11;24;0
1102027;RS Umum Daerah Kota Subulussalam;Aceh;Kota Subulussalam;  Jl. Hamzah Fansyuri (Subulussalam-Rundeng) Kec. Simpang Kiri Kota Subulussalam Aceh 24782;Rumah Sakit Umum;C;BLUD;Pemkot;189;34;537
1106013;RS Umum Daerah Datu Beru Takengon;Aceh;Aceh Tengah;Jl. Rumah Sakit No.153 Kec. Kebayakan ;Rumah Sakit Umum;B;BLUD;Pemkab;376;80;470
1109028;RS Umum Mufid;Aceh;Pidie;JL. PROF. A. MAJID IBRAHIM, NO. 62-66, KEC. KOTA SIGLI KABUPATEN PIDIE, ACEH;Rumah Sakit Umum;D;Non BLU/BLUD;Perusahaan;102;64;208
1174022;RS Umum Metro Medical Center;Aceh;Kota Lhokseumawe;Jl. Merdeka Barat No. 70 A, Kecamatan Muara Dua, Kota Lhokseumawe , Nanggroe Aceh Darussalam;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;88;38;128
1117025;RS Umum Daerah Muyang Kute Redelong Bener Meriah;Aceh;Bener Meriah;Jl. Simpang Teritit-Pondok Baru, Simpang Empat Kute Kering Redelong Kec. Bukit;Rumah Sakit Umum;C;BLUD;Pemkab;176;35;199
1106025;RS Gayo Medical Centre;Aceh;Aceh Tengah;Jl. Paya Tumpi-Mandale, No. 126  Kec. Kebayakan;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;60;56;0
1104013;RS Ibu dan Anak Keluarga Desa;Aceh;Aceh Tenggara;Jl. Iskandar Muda No. 58 Kutacane;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;80;28;3
1105078;RS Umum Graha Bunda ;Aceh;Aceh Timur; Jl. Medan - Banda Aceh Bukit Pala, Idi Rayeuk - Aceh Timur ;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;163;26;315
1110075;RS Umum Daerah Dr. Fauziah Bireun;Aceh;Bireuen;Jl. Mayjen T. Hamzah Bendahara No. 13 Bireuen;Rumah Sakit Umum;B;BLUD;Pemkab;251;84;1178
1171143;RS Bhayangkara Banda Aceh;Aceh;Kota Banda Aceh;Jl. Cut Nyak Dhien No. 23, Lamteumen Barat Banda Aceh;Rumah Sakit Umum;C;BLU;POLRI;182;23;147
1103010;RS Umum Daerah Dr. H. Yulidin Away;Aceh;Aceh Selatan;Jl. T. Ben Mahmud Nomor 86 A Tapaktuan;Rumah Sakit Umum;B;BLUD;Pemkab;359;68;515
1108015;RS Umum Daerah Kabupaten Aceh Besar;Aceh;Aceh Besar;Jl. Banda Aceh-Medan Km. 25 Desa Sinyeu, Kec. Indrapuri;Rumah Sakit Umum;C;Non BLU/BLUD;Pemkab;101;23;262
1171026;RS Tk. II Iskandar Muda Banda Aceh;Aceh;Kota Banda Aceh;Jl. T.  Hamzah Bendahara No. 1, Kel. Kuta Alam, Kec. Kuta Alam, 24415;Rumah Sakit Umum;B;BLU;TNI AD;273;82;442
1174023;RS Ibu dan Anak ABBY;Aceh;Kota Lhokseumawe;Jl. T. Chik Ditiro Nomor 28 Lancang Garam, Kec. Banda Sakti, Kota Lhokseumawe Propinsi Aceh;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;66;30;91
1101015;RS Umum Daerah Simeulue;Aceh;Simeulue;Jl. Teuku Raja Mahmud Desa Amiria Bahagia,  Kecamatan Simeulue Timur,  Kabupaten Simeulue,  Provinsi Aceh;Rumah Sakit Umum;C;BLUD;Pemkab;120;33;533
